ROUTE_ID,노선명,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
100100199,2222,104000133,05226,광진광장,127.0715209,37.54771517
100100199,2222,104000134,05227,어린이대공원역4번출구,127.0736285,37.54662164
100100198,2221,104000095,05188,자양동잠실대교북단,127.0848057,37.53295532
100100198,2221,104000092,05185,자양동우체국.중앙농협,127.0814131,37.53157273
100100199,2222,104000135,05228,한아름공원,127.072222,37.543765
100100198,2221,104000090,05183,자양미소약국.자양골목시장,127.077319,37.53275
100100199,2222,104000136,05229,건대입구역사거리.건대병원,127.07095,37.540929
100100199,2222,104000125,05218,건대로데오거리입구,127.0699258,37.53891929
100100198,2221,104000116,05209,신자초등학교앞,127.074922,37.530768
100100199,2222,104000121,05214,대동아파트앞,127.068967,37.536419
100100199,2222,104000108,05201,신양초등학교앞,127.0692877,37.53491182
100100199,2222,104000120,05213,자양고교앞,127.0713601,37.53431586
100100199,2222,104000117,05210,자양우성아파트앞,127.073412,37.533798
100100199,2222,104000116,05209,신자초등학교앞,127.074922,37.530768
